date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:56	82/82	---M-Z	200	added ('OK')	text/plain	etag:%2285aeff1ef0d12714f325acb1253958bd%22	https://www.plain.com/robots.txt		(from )
11:57:58	579136/579136	---M-Z	200	added ('OK')	text/html	etag:%224559c407e2dfa1fb04baacdfcb8aded3%22	https://www.plain.com/	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/index.html	(from )
11:57:59	809490/809490	---M-Z	200	added ('OK')	text/html	etag:%228abdd48905d95a05f5a7fd9bb3413501%22	https://www.plain.com/product	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/product.html	(from https://www.plain.com/)
11:58:00	715680/715680	---M-Z	200	added ('OK')	text/html	etag:%22c5603d46c0c5c4472f2b5168a1aadec9%22	https://www.plain.com/customers	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/customers.html	(from https://www.plain.com/)
11:58:00	119/119	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Feb%202025%2004:58:00%20GMT	https://www.plain.com/docs/	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/docs/index.html	(from https://www.plain.com/)
11:58:01	1117154/1117154	---M-Z	200	added ('OK')	text/html	etag:%22adc0ee6d58b269abb4d472ecda205100%22	https://www.plain.com/pricing	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/pricing.html	(from https://www.plain.com/)
11:58:02	330973/330973	---M-Z	200	added ('OK')	text/html	etag:%22263945dd24d7188722a124841c8549df%22	https://www.plain.com/lets-chat	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/lets-chat.html	(from https://www.plain.com/)
11:58:03	305487/305487	---M-Z	200	added ('OK')	text/html	etag:%22022a12f076f555a454fe4495eb07a2e5%22	https://www.plain.com/blog/we-ve-raised-a-15m-series-a?utm_source=banner&utm_medium=homepage&utm_campaign=series-a-announcement	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/blog/we-ve-raised-a-15m-series-af073.html	(from https://www.plain.com/)
11:58:04	151085/151085	---MCZ	200	added ('OK')	text/html	etag:W/%22bjybhoymdc38jd%22	https://www.plain.com/docs/security	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/docs/security.html	(from https://www.plain.com/)
11:58:05	408323/408323	---M-Z	200	added ('OK')	text/html	etag:%22a1878632d2db35273d2cc4d3179c10a5%22	https://www.plain.com/blog	/Users/vunguyen/Desktop/atrium%20/atrium/www.plain.com/blog.html	(from https://www.plain.com/)
